,negative,positive,neutral,total
ok,8.893106988553422,8.766543968781505,6.733635476612093,24.39328643394702
attendant,16.075496778822753,7.123224246926791,0.9474257496248553,24.146146775374397
nice,11.157925965211481,8.820751804793979,4.156095907507806,24.134773677513266
wo,22.331568737925732,0.5118869990697212,1.2671049265746632,24.110560663570116
free,12.428579470098958,6.5044348776397305,5.046266509512462,23.979280857251148
us,15.649862761443876,3.029932554883428,5.296585537469428,23.976380853796734
happen,17.700692877156527,0.9062203590162055,5.344715422820597,23.95162865899333
air,15.524383497251476,3.360561525880723,4.854267946788923,23.739212969921123
mile,16.720142877497096,1.2286589352397759,5.6835217418206065,23.632323554557477
wifi,17.193973543153515,2.8441916593925507,3.4880633553993983,23.526228557945462
wo not,21.56950269331874,0.5148297199837,1.2743892220820958,23.358721635384537
handle,14.503745293703926,4.948755811588432,3.792282627215427,23.244783732507784
hotel,19.449060349168462,0.9576590947634523,2.707309989092396,23.114029433024314
reboked,17.97090915000006,1.817880350896525,3.2651418710213687,23.053931371917955
thing,14.807675987016687,4.287707997691953,3.905056171190077,23.000440155898715
fail,22.178380116778143,0.0,0.8094891977284111,22.987869314506554
class,12.44318514791591,5.592448319754524,4.882893689993973,22.91852715766441
pilot,15.56450096506192,4.317578324870931,2.9975706783941005,22.879649968326955
upgrade,12.889798232798137,4.837983955256651,5.1127183627080885,22.840500550762876
point,16.026710474290464,1.647300805327391,5.165869266355074,22.839880545972928
voucher,17.817488789118745,1.6279334041527038,3.2067984720847202,22.652220665356168
business,17.433311222972012,2.0996279407462226,2.95373113508675,22.486670298804988
rude,21.84080328334422,0.0,0.6321221166163038,22.472925399960523
flightr,19.92800289448034,0.9524349865883402,1.2461894240027194,22.1266273050714
also,14.800453981392913,2.698512006226709,4.576790254931503,22.075756242551122
add,9.789238948636356,3.685568719110372,8.596920180928965,22.071727848675692
flight cancelled flightled,20.494732206461748,0.0,1.5540042783223424,22.04873648478409
send,10.981907503582509,3.4435636337264595,7.6044530678611775,22.029924205170147
able,10.75028980959615,5.641252325647574,5.638335587031676,22.0298777222754
team,12.395895040183612,7.639245012182102,1.9048896794009595,21.940029731766675
thx,7.935938069617552,10.733284463184209,3.2215785237809156,21.890801056582678
fix,17.42686901787917,3.649319507087549,0.7496520265334918,21.82584055150021
late flightr,19.777222484724337,0.9552974174255449,1.0668612156281319,21.799381117778015
ord,12.057109059454532,2.6860220701089963,7.030271632194072,21.773402761757602
talk,17.76074237673285,1.7765406767455283,2.187932225359765,21.725215278838146
start,10.957661611439482,3.228041982093659,7.480228640169678,21.66593223370282
sfo,11.687458985540951,4.587441866515536,5.185326734128044,21.46022758618453
rebok,17.946890028144708,0.20462866508212665,3.2177561143962063,21.36927480762304
arrive,16.804023194867003,1.8778231364478783,2.600017646245535,21.28186397756042
but not,17.88603629399811,0.5180738126586972,2.8241753056282817,21.22828541228509
checked,15.156700232449667,1.3121905523436606,4.582748435023723,21.05163921981705
connect,14.858925910743618,1.725405548834534,4.43680227117668,21.021133730754833
tweet,11.944182569523962,4.498124320409361,4.534944673870154,20.977251563803478
rep,17.86935691958101,2.5151467881522107,0.5763994659258314,20.96090317365905
option,15.882792328434137,1.5441526945642843,3.4699350829669675,20.896880105965387
rt,4.702494963928966,2.4134504528765066,13.688696364599181,20.804641781404655
